"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim"
"1278.8999999761581","<p> Welcome to the experiment!</p><p>It should take about 30 minutes.</p><p> <i> Press spacebar to continue</i> </p>","32","html-keyboard-response","0","1281","0.0-0.0","",""
"1217.1000000238419","<p>How do you perceive the cube right now ?</p><img height='125' width='150' src='stim/neckercube_left.png'>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp<img height='250' width='300' src='stim/neckercube.png'>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp<img height='125' width='150' src='stim/neckercube_right.png'>","49","html-keyboard-response","1","2499","0.0-1.0-0.0","practice",""
"922.9000000357628","<p>Did you mean you perceived the cube like that ?</p><img height='250' width='300' src='stim/neckercube_left.png'>","89","html-keyboard-response","2","3423","0.0-1.0-1.0","practice",""
"726.5","<p>How do you perceive the cube right now ?</p><img height='125' width='150' src='stim/neckercube_left.png'>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp<img height='250' width='300' src='stim/neckercube.png'>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp<img height='125' width='150' src='stim/neckercube_right.png'>","49","html-keyboard-response","3","4151","0.0-1.0-0.1","practice",""
"558.3999999761581","<p>Did you mean you perceived the cube like that ?</p><img height='250' width='300' src='stim/neckercube_left.png'>","89","html-keyboard-response","4","4711","0.0-1.0-1.1","practice",""
"460.39999997615814","<p>How do you perceive the cube right now ?</p><img height='125' width='150' src='stim/neckercube_left.png'>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp<img height='250' width='300' src='stim/neckercube.png'>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp<img height='125' width='150' src='stim/neckercube_right.png'>","49","html-keyboard-response","5","5173","0.0-1.0-0.2","practice",""
"488.89999997615814","<p>Did you mean you perceived the cube like that ?</p><img height='250' width='300' src='stim/neckercube_left.png'>","89","html-keyboard-response","6","5663","0.0-1.0-1.2","practice",""
"2302.699999988079","<p> Great job ! We are now going to run some practice trials !</p><p> <i> Press spacebar to continue</i> </p>","32","html-keyboard-response","7","7966","0.0-1.0-2.2-0.2","",""
"1490.3999999761581","<img height='250' width='300' src='stim/neckercube.png'>","49","html-keyboard-response","8","9457","0.0-1.0-2.2-1.2-0.2","practice",""
"null","","null","html-keyboard-response","9","10073","0.0-1.0-2.2-1.2-1.2","",""
"1817","<img height='250' width='300' src='stim/neckercube.png'>","48","html-keyboard-response","10","11891","0.0-1.0-2.2-1.2-0.3","practice",""
"null","","null","html-keyboard-response","11","12496","0.0-1.0-2.2-1.2-1.3","",""
"712.5","<img height='250' width='300' src='stim/neckercube.png'>","48","html-keyboard-response","12","13209","0.0-1.0-2.2-1.2-0.4","practice",""
"null","","null","html-keyboard-response","13","13819","0.0-1.0-2.2-1.2-1.4","",""
"983.3999999761581","<img height='250' width='300' src='stim/neckercube.png'>","48","html-keyboard-response","14","14803","0.0-1.0-2.2-1.2-0.5","practice",""
"null","","null","html-keyboard-response","15","15412","0.0-1.0-2.2-1.2-1.5","",""
"510.80000001192093","<img height='250' width='300' src='stim/neckercube.png'>","48","html-keyboard-response","16","15924","0.0-1.0-2.2-1.2-0.6","practice",""
"","","","html-keyboard-response","17","15924","0.0-1.0-2.2-1.2-1.6","",""
"0","","48","html-keyboard-response","18","16546","0.0-1.0-0.3","practice",""
"null","<p style='color:white;'>Data saving...</p><div class=""sk-cube-grid""><div class=""sk-cube sk-cube1""></div><div class=""sk-cube sk-cube2""></div><div class=""sk-cube sk-cube3""></div><div class=""sk-cube sk-cube4""></div><div class=""sk-cube sk-cube5""></div><div class=""sk-cube sk-cube6""></div><div class=""sk-cube sk-cube7""></div><div class=""sk-cube sk-cube8""></div><div class=""sk-cube sk-cube9""></div></div><p style='color:white;'>Do not close this window until the text dissapears.</p>","null","html-keyboard-response","19","21741","0.0-2.0","",""
