"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id"
"815","<p> Hello and thank you for taking part in our experiment!</p><p>It should take about 30 minutes.</p><p> <i> Press spacebar to continue</i> </p>","32","html-keyboard-response","0","820","0.0-0.0"
"718","can","32","html-keyboard-response","1","1539","0.0-1.0-0.0"
"177.9999999999991","sewage","32","html-keyboard-response","2","1719","0.0-1.0-0.1"
"195","junk","32","html-keyboard-response","3","1914","0.0-1.0-0.2"
"149","sweep","32","html-keyboard-response","4","2064","0.0-1.0-0.3"
"149","pile","32","html-keyboard-response","5","2213","0.0-1.0-0.4"
"149","landfill","32","html-keyboard-response","6","2364","0.0-1.0-0.5"
"164.9999999999991","TONE1","32","html-keyboard-response","7","2529","0.0-1.0-0.6"
"149.0000000000009","city","32","html-keyboard-response","8","2679","0.0-1.0-0.7"
"193","TONE2","32","html-keyboard-response","9","2873","0.0-1.0-0.8"
"150.00000000000182","warm","32","html-keyboard-response","10","3024","0.0-1.0-0.9"
"164","ice","32","html-keyboard-response","11","3188","0.0-1.0-0.10"
"164","frigid","32","html-keyboard-response","12","3354","0.0-1.0-0.11"
"179"," heat","32","html-keyboard-response","13","3534","0.0-1.0-0.12"
"164"," freeze","32","html-keyboard-response","14","3699","0.0-1.0-0.13"
"134","shiver","32","html-keyboard-response","15","3834","0.0-1.0-0.14"
"179.99999999999818","TONE1","32","html-keyboard-response","16","4014","0.0-1.0-0.15"
"164","lion","32","html-keyboard-response","17","4179","0.0-1.0-0.16"
"149","TONE2","32","html-keyboard-response","18","4329","0.0-1.0-0.17"
"165","symbol","32","html-keyboard-response","19","4494","0.0-1.0-0.18"
"194","anthem","32","html-keyboard-response","20","4688","0.0-1.0-0.19"
"196","pole","32","html-keyboard-response","21","4884","0.0-1.0-0.20"
"224","raised","32","html-keyboard-response","22","5109","0.0-1.0-0.21"
"164.00000000000182","checkered","32","html-keyboard-response","23","5274","0.0-1.0-0.22"
"360","sign","32","html-keyboard-response","24","5634","0.0-1.0-0.23"
"149","TONE1","32","html-keyboard-response","25","5784","0.0-1.0-0.24"
"210.00000000000182","fruit","32","html-keyboard-response","26","5994","0.0-1.0-0.25"
"163.99999999999818","TONE2","32","html-keyboard-response","27","6159","0.0-1.0-0.26"
"151","blaze","32","html-keyboard-response","28","6309","0.0-1.0-0.27"
"149","pollution","32","html-keyboard-response","29","6459","0.0-1.0-0.28"
"163.99999999999818","cigar","32","html-keyboard-response","30","6624","0.0-1.0-0.29"
"164","fire","32","html-keyboard-response","31","6789","0.0-1.0-0.30"
"178.99999999999818","stink","32","html-keyboard-response","32","6969","0.0-1.0-0.31"
"150.00000000000182","lungs","32","html-keyboard-response","33","7119","0.0-1.0-0.32"
"179","TONE1","32","html-keyboard-response","34","7299","0.0-1.0-0.33"
"179.00000000000182","soft","32","html-keyboard-response","35","7479","0.0-1.0-0.34"
"194","TONE2","32","html-keyboard-response","36","7674","0.0-1.0-0.35"
"179.00000000000182","climb","32","html-keyboard-response","37","7854","0.0-1.0-0.36"
"180","top2","32","html-keyboard-response","38","8034","0.0-1.0-0.37"
"179","peak","32","html-keyboard-response","39","8214","0.0-1.0-0.38"
"194","glacier","32","html-keyboard-response","40","8409","0.0-1.0-0.39"
"149.00000000000182","bike","32","html-keyboard-response","41","8559","0.0-1.0-0.40"
"194","range","32","html-keyboard-response","42","8754","0.0-1.0-0.41"
"180","TONE1","32","html-keyboard-response","43","8934","0.0-1.0-0.42"
"180","man","32","html-keyboard-response","44","9114","0.0-1.0-0.43"
"180","TONE2","32","html-keyboard-response","45","9294","0.0-1.0-0.44"
"179","eye","32","html-keyboard-response","46","9474","0.0-1.0-0.45"
"180","sharp","32","html-keyboard-response","47","9654","0.0-1.0-0.46"
